Municipio;ibge;cep
BA_IBITITA_(FEIRA_NOVA);2913101;
BA_IBOTIRAMA;2913200;
BA_IBOTIRAMA_(BOA_VISTA_DO_LAGAMAR);2913200;
BA_ICHU;2913309;
BA_IGAPORA;2913408;
BA_IGRAPIUNA;2913457;
BA_IGUAI;2913507;
BA_IGUAI_(IGUAIBI);2913507;
BA_ILHEUS;2913606;
BA_ILHEUS_(ARITAGUA);2913606;
BA_ILHEUS_(BANCO_CENTRAL);2913606;
BA_ILHEUS_(BANCO_DO_PEDRO);2913606;
BA_ILHEUS_(CASTELO_NOVO);2913606;
BA_ILHEUS_(COUTOS);2913606;
BA_ILHEUS_(INEMA);2913606;
BA_ILHEUS_(JAPU);2913606;
BA_ILHEUS_(OLIVENCA);2913606;
BA_ILHEUS_(PIMENTEIRA);2913606;
BA_ILHEUS_(SAMBAITUBA);2913606;
BA_INHAMBUPE;2913705;
BA_IPECAETA;2913804;
BA_IPECAETA_(CAVUNGE);2913804;
BA_IPIAU;2913903;
BA_IPIRA;2914000;
